Number_of_People,Counters_Open,Avg_Service_Time,Time_of_Day,Queue_Type,Waiting_Time
296,9,7,14,Bank,244.52
207,5,13,18,Bank,540.19
55,14,8,15,Office,41.68
275,12,19,7,Hospital,462.41
281,4,15,16,Office,1067.88
145,8,9,20,Hospital,174.67
279,13,15,0,Hospital,331.49
294,9,6,6,Hospital,216.34
56,4,10,20,Bank,157.99
31,3,9,17,Bank,110.9
161,8,3,11,Office,76.15
243,14,17,15,Hospital,329.13
160,5,14,0,Hospital,467.27
295,2,8,14,Bank,1189.03
140,10,17,6,Hospital,240.03
148,9,8,16,Office,143.42
110,3,15,2,Hospital,575.96
162,12,15,10,Hospital,233.45
150,2,13,5,Bank,979.19
6,1,2,5,Hospital,35.24
81,14,2,14,Office,33.9
136,8,13,6,Office,236.08
94,11,16,10,Office,135.74
267,3,5,16,Office,461.73
112,7,8,22,Bank,143.33
78,1,17,17,Hospital,1339.37
43,1,4,21,Bank,180.22
163,12,8,23,Office,115.58
75,9,7,20,Hospital,60.34
245,12,17,18,Bank,364.27
40,8,9,7,Hospital,64.97
88,12,7,23,Office,77.52
267,13,11,19,Office,246.92
176,3,17,7,Hospital,1014.85
177,6,12,20,Hospital,373.42
51,11,14,10,Office,83.87
145,3,7,20,Bank,355.1
122,13,2,2,Office,36.03
281,12,13,22,Hospital,332.16
218,4,7,13,Bank,389.42
224,1,19,8,Office,4264.02
30,5,14,0,Hospital,103.55
13,1,8,0,Hospital,125.44
275,13,14,11,Hospital,307.74
14,1,9,10,Bank,126.64
125,10,18,20,Bank,238.13
129,11,10,0,Bank,124.43
174,11,14,19,Bank,230.29
76,14,3,11,Hospital,33.77
156,7,5,16,Hospital,142.07
212,12,3,14,Bank,71.83
53,6,5,1,Bank,45.51
158,2,19,17,Hospital,1517.27
297,14,6,15,Office,148.24
72,11,11,3,Office,91.21
54,12,19,7,Hospital,105.21
156,2,11,1,Bank,860.04
23,11,6,13,Bank,17.77
104,7,18,14,Hospital,283.81
64,1,14,8,Office,912.94
171,13,18,1,Hospital,268.7
206,2,10,16,Hospital,1045.19
150,12,13,9,Hospital,175.32
168,8,15,8,Bank,324.24
246,6,15,1,Bank,632.22
73,14,9,23,Bank,46.8
179,2,6,18,Office,562.18
53,7,15,16,Hospital,132.37
112,4,10,10,Hospital,294.86
230,2,8,16,Office,923.8
165,12,9,9,Bank,138.7
123,6,15,17,Hospital,326.3
153,11,15,22,Office,224.83
154,9,12,5,Bank,209.03
297,11,15,15,Bank,412.77
147,9,9,17,Hospital,163.59
164,14,4,19,Bank,56.15
15,8,19,17,Office,45.94
142,3,4,0,Bank,188.59
82,3,14,2,Hospital,421.77
81,2,13,14,Office,531.96
258,5,16,19,Bank,836.87
262,14,19,9,Bank,353.17
295,12,6,20,Bank,143.52
267,14,8,4,Office,168.26
89,4,12,14,Bank,278.22
150,7,12,22,Hospital,285.97
46,4,16,13,Office,201.8
129,9,11,14,Office,171.62
171,12,16,9,Bank,231.35
245,12,14,23,Office,311.33
284,2,15,8,Hospital,2156.5
192,11,18,11,Office,320.46
23,14,14,6,Hospital,43.27
72,6,11,4,Bank,143.01
222,7,2,23,Office,76.01
106,4,2,9,Hospital,78.4
46,13,16,7,Bank,72.44
292,6,17,21,Hospital,846.0
171,7,13,19,Office,330.61
113,4,7,15,Office,223.24
40,8,7,11,Hospital,61.53
236,9,13,8,Bank,351.4
233,1,16,9,Bank,3726.6
168,7,5,15,Bank,132.41
77,9,5,9,Bank,57.66
140,12,3,8,Hospital,35.72
74,10,13,2,Office,112.96
200,5,8,18,Hospital,337.08
273,12,10,10,Office,240.95
53,2,10,5,Office,273.65
134,10,9,5,Hospital,139.56
9,6,15,14,Hospital,52.24
31,12,2,14,Bank,12.04
164,12,13,12,Office,199.43
153,7,3,21,Bank,69.93
268,2,14,4,Bank,1891.31
234,2,5,13,Hospital,605.01
204,10,19,20,Bank,400.06
54,14,17,1,Bank,75.62
71,12,15,22,Bank,103.24
62,10,9,11,Hospital,57.83
263,1,13,19,Bank,3419.06
134,4,10,13,Bank,347.92
219,7,7,18,Hospital,224.7
176,14,19,23,Hospital,255.14
262,9,3,19,Hospital,106.95
106,3,9,14,Office,327.2
213,12,15,19,Hospital,281.41
295,11,7,23,Office,204.63
290,7,11,16,Hospital,482.78
120,7,9,13,Hospital,167.58
268,7,18,22,Hospital,705.12
154,2,13,17,Office,1010.88
40,6,18,21,Bank,113.05
291,2,14,23,Hospital,2057.99
212,6,13,4,Office,480.88
110,13,17,21,Hospital,170.96
162,10,6,11,Bank,101.1
125,3,17,9,Office,714.57
59,14,7,7,Hospital,49.65
16,2,12,5,Hospital,121.8
149,12,18,14,Hospital,244.58
140,14,15,11,Bank,162.03
7,6,7,5,Office,31.16
148,2,12,11,Hospital,902.83
34,5,13,14,Hospital,106.86
241,2,14,11,Office,1713.44
283,3,5,8,Bank,480.29
119,3,8,18,Bank,318.46
108,6,3,20,Bank,59.31
122,6,7,1,Bank,145.77
9,10,7,12,Bank,18.8
252,3,19,12,Hospital,1609.73
125,3,9,7,Hospital,396.9
290,13,9,12,Hospital,215.62
153,12,9,3,Office,114.89
88,13,9,5,Bank,73.07
235,1,2,5,Office,486.04
292,7,3,20,Bank,138.77
165,13,13,11,Bank,170.29
276,8,16,11,Office,561.54
42,2,5,16,Hospital,127.81
230,4,4,6,Office,255.63
146,10,15,14,Hospital,239.08
296,7,9,23,Bank,393.54
155,8,14,16,Hospital,289.0
118,1,6,9,Bank,707.19
241,4,14,22,Bank,860.27
70,6,2,19,Hospital,49.69
262,3,17,5,Bank,1499.64
253,5,3,8,Hospital,170.53
184,10,8,14,Office,166.38
194,9,7,15,Bank,167.15
158,11,6,20,Bank,107.52
200,13,5,7,Office,98.84
266,3,3,15,Bank,276.45
147,5,11,4,Office,329.24
105,8,6,17,Office,94.84
248,6,19,19,Bank,797.13
16,4,11,13,Office,63.96
243,8,16,1,Office,510.48
53,11,10,22,Office,62.52
46,3,12,22,Bank,208.71
170,3,18,2,Office,1022.68
86,4,10,13,Hospital,237.94
295,9,17,6,Hospital,571.63
162,5,7,14,Office,228.45
220,8,12,16,Hospital,348.59
162,6,18,0,Bank,485.8
138,3,5,8,Office,243.87
71,8,16,21,Bank,152.24
11,12,2,13,Hospital,29.66
18,9,2,15,Hospital,13.45
77,8,10,20,Hospital,122.61
167,13,13,12,Hospital,187.69
70,4,5,5,Bank,104.7
134,14,14,21,Office,145.98
210,14,8,0,Bank,120.67
280,13,9,20,Office,200.32
260,11,14,3,Hospital,341.87
270,6,12,2,Hospital,563.34
29,1,10,16,Hospital,320.34
285,4,17,1,Hospital,1227.3
257,8,11,18,Bank,367.78
293,1,12,19,Office,3520.34
168,3,13,22,Office,744.26
99,1,15,21,Hospital,1509.68
274,9,13,7,Bank,395.64
114,2,19,14,Hospital,1101.57
242,9,18,5,Office,504.01
29,13,4,22,Office,3.39
145,4,2,19,Bank,91.85
121,2,5,1,Office,319.98
29,4,17,14,Bank,138.27
83,12,13,19,Hospital,107.03
72,11,14,11,Hospital,99.58
177,11,18,2,Bank,303.37
16,10,9,9,Hospital,33.82
292,6,14,13,Bank,691.56
132,11,6,21,Hospital,99.61
100,7,19,13,Hospital,296.76
96,3,16,2,Office,540.45
145,3,13,0,Office,644.41
35,12,18,19,Bank,57.66
24,10,16,0,Hospital,57.08
150,12,3,1,Hospital,60.41
164,8,7,18,Hospital,170.61
47,5,18,23,Office,173.93
258,4,17,9,Bank,1106.56
134,7,18,3,Bank,365.84
64,7,10,3,Bank,99.75
155,13,6,12,Hospital,98.06
291,9,2,8,Bank,78.12
9,9,7,6,Office,28.69
270,5,15,15,Office,819.33
134,13,18,17,Bank,189.9
271,12,2,2,Hospital,65.31
182,13,2,19,Office,32.27
257,8,14,19,Office,462.86
60,10,15,9,Hospital,111.77
87,1,7,23,Hospital,641.49
103,9,7,21,Bank,92.93
153,8,2,15,Office,57.63
160,6,15,2,Office,423.15
194,13,4,10,Bank,62.94
267,3,11,9,Bank,987.84
84,3,5,15,Office,171.98
256,8,11,7,Office,366.45
101,5,3,8,Hospital,88.42
264,10,5,14,Hospital,158.75
264,11,7,20,Office,172.65
107,14,8,2,Office,78.32
44,7,17,3,Hospital,127.88
277,5,8,12,Bank,455.51
105,8,19,11,Bank,254.1
225,10,10,20,Office,232.18
128,10,11,8,Office,152.47
235,4,14,13,Hospital,841.82
182,2,19,18,Office,1752.29
67,3,17,6,Bank,402.39
120,8,18,15,Hospital,299.78
195,11,14,21,Hospital,274.2
66,13,13,19,Bank,68.97
260,7,11,4,Bank,415.71
11,13,2,9,Hospital,23.16
159,2,9,17,Office,726.07
96,6,19,10,Bank,318.04
18,9,3,6,Hospital,31.04
233,4,17,13,Office,1009.0
90,9,13,19,Office,152.18
137,2,10,17,Hospital,698.67
187,2,4,10,Bank,390.53
66,9,5,21,Office,46.8
223,12,3,11,Bank,59.16
250,7,9,17,Hospital,345.15
234,7,11,1,Bank,386.23
83,1,17,22,Office,1429.42
153,13,12,0,Hospital,161.38
142,11,19,22,Office,262.44
69,6,15,9,Office,188.45
17,13,9,20,Hospital,23.89
217,7,16,0,Hospital,507.3
246,11,18,5,Bank,411.99
217,14,19,6,Hospital,315.06
185,6,7,16,Bank,225.91
177,6,15,8,Hospital,467.23
164,2,4,6,Office,341.49
168,6,8,16,Bank,237.94
192,4,16,2,Hospital,786.99
195,9,17,15,Bank,391.1
260,12,17,4,Bank,378.9
187,1,9,19,Bank,1709.39
121,13,8,17,Office,91.93
286,8,7,0,Hospital,268.75
200,5,3,3,Hospital,133.7
38,1,14,22,Bank,531.9
56,4,13,10,Hospital,195.06
116,1,16,19,Office,1864.84
256,6,10,8,Bank,439.43
86,2,3,7,Office,140.32
236,5,18,7,Office,865.91
231,7,6,4,Hospital,226.97
237,2,12,11,Hospital,1441.39
225,6,8,0,Bank,324.55
46,6,3,14,Office,29.77
25,5,17,17,Hospital,103.95
46,5,13,5,Bank,125.82
117,14,16,9,Bank,150.27
109,3,2,13,Hospital,76.99
196,10,14,20,Office,279.3
21,10,7,7,Bank,23.95
124,11,14,2,Hospital,188.68
133,12,19,21,Bank,222.16
134,2,4,21,Hospital,278.54
64,7,2,18,Bank,19.91
52,1,16,11,Office,858.71
33,6,14,11,Bank,82.65
101,6,6,14,Hospital,114.4
14,3,14,6,Hospital,95.67
246,2,6,3,Hospital,765.08
236,12,19,20,Office,397.59
281,2,11,8,Hospital,1558.85
288,14,9,21,Hospital,194.47
207,13,16,15,Office,270.7
251,9,5,12,Hospital,161.79
294,11,3,3,Hospital,102.73
268,5,7,23,Office,400.55
218,7,4,8,Bank,122.44
204,12,8,20,Hospital,162.02
83,5,11,17,Bank,184.92
177,7,7,14,Office,197.99
73,13,17,14,Hospital,112.14
91,4,3,5,Hospital,82.55
105,8,18,10,Office,246.98
12,13,14,7,Hospital,22.8
204,11,2,20,Bank,47.37
91,14,7,16,Bank,50.09
47,10,6,23,Office,48.7
113,13,14,16,Hospital,146.17
156,11,19,23,Hospital,301.27
21,10,13,17,Office,44.86
137,7,8,3,Bank,170.22
152,10,16,14,Bank,263.0
281,5,4,1,Office,235.41
236,11,17,1,Hospital,374.31
232,6,2,9,Bank,88.73
143,5,17,2,Hospital,496.24
215,7,13,7,Bank,426.46
32,12,9,19,Hospital,54.19
55,2,13,6,Bank,382.65
265,5,16,11,Hospital,868.44
265,10,3,18,Office,98.35
12,3,18,14,Bank,78.78
142,9,8,13,Office,147.4
42,13,14,15,Bank,46.72
115,6,2,13,Bank,30.53
224,13,7,2,Bank,125.08
227,10,14,17,Hospital,327.61
140,3,12,21,Bank,580.35
260,7,11,5,Office,436.28
53,4,17,16,Hospital,235.43
296,14,18,22,Hospital,409.61
82,3,18,13,Bank,508.66
109,8,5,13,Hospital,77.14
173,13,6,19,Bank,87.11
221,4,15,12,Office,839.69
123,11,11,2,Hospital,148.24
194,1,15,12,Hospital,2921.4
259,6,2,23,Office,100.64
270,10,12,1,Office,334.2
153,11,19,8,Bank,277.59
168,11,17,12,Hospital,278.12
144,1,19,7,Office,2747.25
262,5,9,15,Hospital,490.11
273,7,11,23,Office,458.25
185,6,11,2,Hospital,356.25
164,14,6,12,Office,78.0
292,2,11,3,Hospital,1630.08
292,11,19,17,Bank,513.36
230,4,7,1,Hospital,412.59
15,11,4,19,Bank,31.08
14,2,9,21,Bank,70.53
275,11,10,20,Bank,257.35
277,1,6,14,Hospital,1683.12
187,3,3,16,Hospital,219.11
157,3,3,9,Bank,155.24
128,12,8,0,Office,102.27
118,7,18,5,Hospital,338.04
282,1,11,2,Hospital,3122.9
217,9,13,18,Hospital,324.8
176,11,3,6,Hospital,63.67
292,6,11,12,Bank,546.78
178,4,2,12,Office,113.32
117,3,5,16,Office,207.62
126,3,14,0,Office,608.79
36,2,13,13,Office,238.95
226,2,12,2,Bank,1355.89
123,14,11,13,Hospital,113.26
43,12,16,23,Hospital,87.4
272,13,6,0,Bank,136.02
237,10,18,15,Hospital,448.63
22,5,6,9,Bank,38.35
153,9,3,12,Office,73.76
153,2,10,3,Bank,770.73
130,2,7,8,Hospital,479.82
242,12,19,13,Hospital,397.35
139,6,15,3,Hospital,381.38
155,13,15,9,Office,188.24
240,10,9,7,Bank,219.82
228,2,18,22,Bank,2065.85
207,12,4,2,Hospital,89.56
260,4,11,22,Bank,727.29
90,6,18,6,Hospital,291.59
154,5,12,9,Bank,371.97
239,1,9,2,Office,2177.29
26,6,2,1,Office,29.92
289,1,14,14,Bank,4065.51
273,3,5,8,Office,466.3
262,10,8,14,Office,227.52
33,5,15,16,Office,115.38
217,14,6,6,Hospital,120.9
287,10,12,19,Bank,362.52
54,13,18,17,Bank,86.12
99,5,6,14,Hospital,128.17
92,13,4,17,Hospital,60.77
48,10,6,23,Office,47.69
282,6,16,22,Bank,757.74
175,12,17,11,Hospital,270.76
193,10,9,22,Office,178.12
188,8,14,20,Bank,346.39
7,5,17,7,Office,28.5
195,14,4,1,Bank,64.17
122,11,2,1,Office,38.89
23,1,10,4,Bank,247.27
27,5,10,0,Bank,64.75
34,3,18,21,Bank,218.44
299,4,3,3,Bank,234.05
112,13,10,5,Office,100.93
285,8,14,22,Hospital,519.35
132,7,6,12,Bank,121.82
233,11,10,18,Bank,210.01
115,5,14,10,Bank,326.62
140,2,2,12,Bank,151.71
190,6,16,7,Office,519.92
148,11,5,6,Hospital,86.18
76,6,5,12,Hospital,81.07
133,10,11,0,Hospital,160.25
265,10,7,5,Office,197.05
7,14,13,6,Hospital,24.35
108,11,17,15,Office,181.95
228,6,4,14,Office,169.75
14,14,15,19,Bank,23.74
235,9,2,1,Office,60.01
223,11,11,22,Hospital,233.21
70,8,16,15,Hospital,178.18
116,8,8,16,Hospital,128.09
17,1,5,23,Bank,91.37
90,5,15,14,Bank,283.62
238,7,17,2,Bank,590.53
94,6,15,3,Office,253.65
58,5,4,11,Hospital,63.3
16,8,18,4,Office,52.67
213,3,15,16,Office,1080.43
18,6,19,5,Hospital,74.82
125,5,4,9,Bank,111.72
24,8,4,21,Hospital,39.39
79,4,13,17,Office,271.59
247,8,6,9,Office,200.14
227,10,11,5,Bank,267.18
74,14,10,23,Office,74.59
215,2,2,5,Office,241.09
105,9,14,19,Hospital,171.04
190,13,4,14,Bank,74.8
136,9,12,3,Hospital,205.54
115,14,17,15,Hospital,153.44
136,10,7,21,Hospital,116.96
24,10,4,23,Office,31.96
28,13,7,7,Office,24.27
231,6,9,6,Bank,359.6
158,4,14,18,Office,574.1
297,4,13,16,Bank,967.75
234,13,11,20,Hospital,217.0
206,6,4,12,Hospital,159.44
42,5,5,14,Office,51.43
264,6,2,1,Office,96.85
192,7,14,9,Bank,393.05
61,7,5,12,Office,64.18
24,9,12,17,Office,51.51
277,8,12,22,Office,424.47
123,13,13,10,Hospital,147.57
75,6,12,12,Office,159.15
8,12,7,18,Office,8.4
225,6,13,23,Hospital,504.93
18,14,10,23,Hospital,40.72
7,5,11,21,Hospital,39.99
220,1,4,4,Hospital,899.99
233,9,4,2,Office,115.64
190,9,17,18,Office,371.16
59,9,4,22,Office,41.98
258,11,11,12,Bank,260.52
28,8,12,4,Hospital,59.56
166,13,9,11,Office,128.41
162,10,7,13,Office,118.94
86,13,12,5,Office,88.52
163,3,13,21,Hospital,729.21
192,1,17,8,Hospital,3284.07
64,11,19,16,Hospital,128.38
215,12,14,7,Office,259.45
156,12,4,12,Hospital,83.04
113,8,16,4,Office,235.13
80,7,15,21,Bank,183.19
34,13,19,21,Hospital,66.28
121,5,15,16,Hospital,383.25
196,10,6,2,Office,135.8
23,7,15,5,Hospital,59.69
177,10,9,13,Hospital,179.25
232,4,16,14,Office,951.34
187,9,16,13,Office,359.77
117,11,7,10,Office,88.54
187,10,9,10,Bank,178.59
150,14,7,8,Office,105.48
120,2,16,5,Hospital,987.94
117,9,4,14,Bank,57.68
255,9,11,11,Office,322.33
255,5,16,5,Bank,832.7
122,11,17,0,Bank,191.47
165,1,18,15,Hospital,2997.61
202,7,12,19,Bank,358.63
264,10,17,14,Office,467.42
152,10,6,1,Bank,99.4
244,4,6,16,Bank,371.59
51,9,15,2,Hospital,115.23
202,6,19,2,Hospital,657.94
51,13,9,4,Office,47.43
82,3,6,16,Hospital,183.44
128,6,8,22,Office,187.02
79,13,17,16,Office,111.09
141,10,15,19,Hospital,227.55
94,6,6,5,Bank,99.67
65,5,10,0,Hospital,155.92
142,2,5,6,Bank,358.8
54,10,5,14,Bank,24.71
263,10,17,6,Office,448.33
111,2,18,18,Office,1003.71
117,7,16,19,Hospital,296.96
258,2,5,21,Bank,655.11
122,12,7,10,Hospital,94.68
202,6,17,22,Office,591.09
55,5,5,13,Bank,65.39
249,4,7,12,Hospital,455.23
39,7,6,19,Hospital,60.74
73,8,17,8,Office,171.15
53,4,17,8,Office,250.04
78,1,11,15,Office,877.35
196,1,10,11,Office,1970.68
265,1,5,9,Hospital,1341.52
74,11,15,5,Office,110.82
94,1,5,17,Office,493.52
264,5,13,1,Hospital,703.56
130,4,11,19,Hospital,371.91
235,13,5,8,Bank,102.62
299,14,19,18,Hospital,425.11
133,9,14,5,Bank,218.95
284,3,14,1,Office,1353.56
104,14,15,14,Bank,127.82
186,7,19,16,Bank,515.05
178,11,2,15,Office,37.5
192,8,17,20,Office,419.5
61,6,16,7,Office,182.64
35,12,6,9,Bank,19.3
88,13,7,9,Hospital,82.37
156,10,7,17,Hospital,129.3
40,13,4,9,Hospital,32.65
217,1,17,8,Office,3699.33
110,8,13,23,Office,197.23
224,10,5,18,Hospital,123.89
167,3,2,0,Office,141.49
224,8,5,3,Bank,159.22
274,12,2,23,Bank,62.56
124,4,9,2,Office,284.27
186,8,6,9,Hospital,160.94
110,11,3,11,Hospital,58.46
221,1,13,17,Bank,2887.15
209,3,18,22,Office,1261.99
74,6,8,19,Hospital,114.12
48,9,12,5,Hospital,80.84
232,2,5,20,Office,590.78
188,11,6,1,Office,128.25
111,1,7,9,Hospital,783.55
88,10,12,1,Office,125.19
254,3,2,8,Office,175.29
25,4,11,9,Office,77.02
200,11,12,1,Hospital,224.11
182,5,18,7,Bank,661.36
11,3,9,23,Office,58.58
74,13,14,16,Hospital,101.55
131,10,19,16,Bank,250.51
164,11,17,3,Hospital,280.57
252,2,3,17,Hospital,406.62
207,2,6,11,Hospital,641.73
152,7,19,16,Bank,436.81
147,9,4,8,Hospital,91.08
203,10,18,18,Bank,380.18
158,2,17,13,Office,1352.38
146,7,7,13,Bank,160.39
169,7,8,16,Hospital,214.66
25,11,19,1,Bank,56.82
86,7,15,7,Hospital,199.49
73,3,7,4,Office,186.23
135,12,9,6,Bank,105.53
91,7,16,21,Office,207.97
222,1,16,15,Bank,3568.99
165,10,16,15,Hospital,273.48
182,1,17,16,Bank,3104.75
121,5,2,21,Office,65.73
200,2,12,6,Bank,1212.29
90,9,6,19,Office,73.02
293,7,6,7,Office,268.04
85,4,7,7,Hospital,172.05
156,4,3,22,Bank,132.14
65,2,7,10,Office,254.63
65,5,15,14,Hospital,216.64
32,4,12,17,Hospital,116.45
47,12,5,5,Hospital,33.24
173,13,10,21,Office,151.13
90,1,4,11,Bank,374.67
181,12,17,14,Office,270.07
21,8,12,22,Hospital,55.31
102,3,5,5,Office,182.95
202,14,2,17,Office,48.55
102,6,17,23,Hospital,315.39
69,4,17,19,Bank,309.54
9,9,12,8,Hospital,32.82
6,7,9,7,Hospital,20.43
26,9,2,13,Office,16.49
116,10,10,18,Hospital,140.17
61,3,13,18,Office,296.48
70,1,9,7,Hospital,647.61
102,5,18,1,Hospital,390.39
148,3,11,3,Bank,548.77
129,6,8,5,Hospital,185.18
171,8,7,2,Bank,154.89
90,11,19,2,Hospital,160.88
80,13,16,18,Hospital,127.94
298,4,3,10,Hospital,227.89
63,5,15,9,Bank,197.15
142,5,11,11,Office,319.15
103,4,17,13,Bank,441.56
196,4,8,17,Hospital,421.64
247,4,9,23,Office,572.16
53,4,11,8,Hospital,158.99
36,4,16,14,Bank,149.87
281,5,9,23,Bank,510.44
24,2,14,2,Office,182.7
158,2,13,22,Bank,1038.21
72,9,9,10,Hospital,105.27
218,2,16,9,Office,1745.59
147,6,13,17,Hospital,338.26
236,2,12,3,Office,1428.79
217,5,15,12,Office,672.63
83,4,19,5,Hospital,416.73
218,12,14,20,Bank,268.47
120,7,5,12,Hospital,108.13
96,7,18,19,Bank,250.33
274,13,10,4,Bank,229.25
172,6,8,19,Hospital,254.92
62,10,2,13,Office,33.81
288,5,8,12,Hospital,489.65
30,1,8,13,Office,257.92
70,12,8,7,Bank,67.03
252,3,9,15,Office,773.64
258,9,17,12,Hospital,505.8
48,14,4,23,Office,28.67
101,1,14,14,Bank,1423.83
46,5,11,18,Bank,107.56
231,2,19,0,Office,2220.92
266,4,8,21,Bank,544.07
171,14,6,1,Bank,83.95
283,14,8,17,Office,179.43
93,11,18,18,Bank,183.04
182,1,5,7,Office,917.08
201,3,17,2,Office,1148.08
271,10,11,22,Bank,298.44
272,7,4,13,Office,168.8
78,10,4,8,Bank,42.92
12,3,18,7,Bank,78.74
168,4,11,16,Bank,468.22
89,2,18,22,Hospital,822.0
76,3,18,22,Bank,462.49
59,9,5,23,Office,49.95
51,3,7,15,Office,141.8
242,11,13,9,Office,305.74
108,5,18,20,Hospital,414.97
214,2,18,9,Hospital,1953.6
46,4,11,23,Office,143.48
272,12,8,5,Office,195.22
267,13,17,21,Hospital,363.75
263,7,14,16,Office,538.26
287,14,4,15,Bank,88.33
118,7,3,14,Bank,65.69
44,12,17,21,Office,79.76
224,3,7,13,Bank,537.54
133,5,7,3,Office,193.08
12,1,14,3,Hospital,198.02
105,10,8,1,Office,96.01
180,10,6,10,Hospital,120.3
111,10,8,3,Bank,95.73
105,11,3,20,Bank,56.02
264,1,18,20,Bank,4759.29
250,5,14,15,Office,712.72
279,13,17,20,Hospital,383.5
36,10,3,3,Hospital,29.76
141,9,6,0,Bank,98.53
16,1,19,23,Bank,315.0
20,1,8,18,Hospital,187.53
133,4,12,1,Office,416.2
67,4,12,8,Bank,203.22
113,2,18,22,Office,1029.59
25,9,17,12,Bank,53.36
162,14,14,17,Bank,172.37
273,9,6,15,Office,206.31
166,13,17,15,Office,231.03
264,13,17,9,Office,359.61
106,2,17,8,Office,928.44
227,14,15,10,Hospital,269.35
63,9,7,3,Hospital,73.02
251,6,3,9,Bank,149.21
132,8,15,2,Bank,260.93
287,10,17,5,Bank,483.99
29,13,14,2,Hospital,57.06
135,13,16,8,Office,170.01
200,4,13,2,Bank,663.16
285,2,10,17,Hospital,1433.0
158,2,19,7,Bank,1507.73
137,9,15,21,Hospital,245.79
231,1,5,7,Office,1164.61
193,12,9,14,Hospital,162.31
269,7,9,12,Office,368.09
138,11,17,6,Bank,218.28
215,14,11,18,Office,187.74
64,3,18,7,Hospital,397.24
217,3,2,9,Bank,153.34
220,2,19,16,Bank,2102.27
230,14,11,0,Hospital,193.74
135,10,5,12,Office,73.32
80,6,2,12,Hospital,50.11
290,13,5,23,Office,134.4
281,10,5,15,Office,154.95
160,2,5,8,Bank,406.8
252,10,18,9,Office,469.69
222,4,10,5,Bank,565.39
194,10,14,4,Hospital,293.3
167,9,5,1,Hospital,95.08
184,9,6,10,Bank,125.18
38,6,14,8,Bank,92.75
45,13,17,5,Office,74.9
79,4,6,7,Bank,129.8
283,7,9,8,Hospital,388.31
180,14,17,8,Bank,230.37
154,1,2,7,Bank,308.89
277,12,7,11,Bank,181.71
112,4,12,7,Office,359.9
143,5,17,2,Bank,487.39
275,8,6,12,Office,223.58
293,12,17,18,Office,425.92
216,2,8,1,Bank,874.97
276,12,2,16,Office,68.37
70,5,10,15,Bank,164.91
252,6,19,3,Hospital,823.26
160,5,14,17,Hospital,470.06
51,13,16,13,Office,75.39
205,9,4,1,Hospital,112.39
152,10,11,12,Bank,186.72
128,1,10,20,Office,1294.69
5,14,14,19,Bank,8.8
251,3,17,16,Office,1426.0
132,14,4,14,Office,56.31
195,2,16,19,Office,1576.73
71,12,18,4,Office,116.98
8,13,15,6,Hospital,36.41
298,3,8,17,Hospital,811.71
147,10,17,23,Hospital,268.96
195,9,9,10,Office,209.88
25,13,5,17,Hospital,27.16
231,14,16,4,Office,280.65
121,9,6,12,Hospital,108.73
146,10,14,17,Office,211.4
43,2,7,1,Hospital,173.92
256,14,6,19,Hospital,130.92
211,3,18,3,Hospital,1287.08
214,14,8,12,Office,143.39
119,4,7,23,Office,223.6
229,9,3,15,Hospital,99.69
138,3,12,5,Office,572.01
255,13,8,7,Bank,163.39
223,7,9,15,Hospital,308.81
95,12,6,12,Hospital,65.74
50,3,19,22,Bank,325.74
42,7,17,3,Office,114.75
146,7,15,1,Office,331.15
104,9,13,8,Office,165.79
194,2,18,17,Hospital,1768.76
39,13,6,16,Hospital,37.88
151,6,15,7,Hospital,386.27
34,9,7,14,Hospital,46.66
88,12,16,8,Hospital,137.78
285,12,8,16,Office,206.7
274,2,15,22,Bank,2060.84
158,2,19,1,Office,1507.63
106,13,2,5,Office,35.68
219,14,7,4,Hospital,127.58
154,5,4,16,Bank,134.4
87,10,6,1,Bank,60.23
114,10,13,17,Office,163.16
279,12,12,9,Bank,285.86
205,10,14,9,Office,295.22
288,8,17,5,Office,630.32
177,11,19,11,Office,316.51
210,9,18,16,Office,436.15
67,2,18,12,Hospital,625.87
77,5,12,19,Bank,190.69
255,14,11,15,Hospital,211.93
128,7,17,9,Hospital,347.84
125,6,3,20,Hospital,78.81
279,6,18,1,Office,856.36
124,7,11,1,Office,223.43
168,3,14,22,Hospital,809.53
290,13,13,6,Hospital,307.9
269,3,16,5,Bank,1444.2
165,10,8,0,Hospital,146.17
93,9,14,11,Office,165.84
146,14,13,12,Hospital,159.54
207,8,13,11,Bank,342.77
231,5,3,18,Bank,141.3
226,6,6,8,Hospital,236.75
45,11,3,9,Bank,29.18
200,12,14,16,Bank,244.18
72,10,4,17,Office,45.3
268,1,12,7,Bank,3220.24
6,10,17,6,Bank,9.96
129,12,2,8,Hospital,48.24
114,1,12,9,Office,1383.29
90,4,10,11,Bank,241.35
124,2,15,14,Hospital,947.3
131,11,10,14,Hospital,137.43
259,7,8,3,Hospital,320.99
187,2,17,3,Hospital,1614.63
20,10,4,22,Hospital,33.58
66,2,5,0,Hospital,182.93
162,5,8,11,Bank,273.5
272,4,13,1,Office,906.76
39,8,19,14,Office,106.89
271,4,6,16,Hospital,422.91
68,14,11,6,Hospital,82.83
54,12,13,5,Office,68.92
259,6,9,11,Bank,402.91
153,5,16,18,Hospital,509.19
280,11,2,0,Office,53.02
176,14,4,20,Office,73.19
205,2,19,13,Hospital,1948.2
39,11,19,3,Office,68.47
220,13,3,4,Bank,64.46
69,12,6,0,Office,53.19
12,14,2,0,Hospital,17.25
